alpha,area_under_train_loss_curve,area_under_val_loss_curve,best_epoch,best_val_loss,dataset,ensemble_size,fidelity_final,fidelity_initial,final_test_accuracy,final_test_cross_entropy,final_test_explained_variance,final_test_macro_f1,final_test_mae,final_test_mse,final_test_precision_macro,final_test_r2,final_test_recall_macro,init_seed,initial_test_accuracy,initial_test_cross_entropy,initial_test_explained_variance,initial_test_macro_f1,initial_test_mae,initial_test_mse,initial_test_precision_macro,initial_test_r2,initial_test_recall_macro,initial_train_loss,initial_val_loss,model_name,setting,split_seed,task,training_time_total
10.0,37.69861501455307,33.409957230091095,49,0.6345124244689941,diabetes,10,1818.6949395041281,2123.497801813856,,,0.18277424446876211,,53.59728043802669,4204.327018689631,,0.18011176942023033,,0,,,0.13115389313335102,,55.29084812121445,4465.912580487724,,0.12909981852905117,,0.7891271710395813,0.702860414981842,coexplain_soft,ensemble_10,0,regression,1.9673685830000007
20.0,25.000963240861893,21.387714087963104,49,0.4173922538757324,diabetes,10,676.370698993077,835.8705980905601,,,0.31370039454551446,,47.26968940992034,3528.443043611551,,0.3119162922227171,,0,,,0.29495993074930793,,48.09842056102967,3629.0695218132128,,0.292293064820214,,0.5185376405715942,0.4394920766353607,coexplain_soft,ensemble_10,0,regression,2.1036025410000008
50.0,18.36280044913292,15.796055108308792,46,0.3157009482383728,diabetes,10,101.74687494452449,132.73202029703774,,,0.3139656455380351,,46.988470098945534,3518.769399439285,,0.3138027551378043,,0,,,0.3178782849021321,,46.88853780339273,3497.871782822697,,0.3178780113761853,,0.3749188780784607,0.31626516580581665,coexplain_soft,ensemble_10,0,regression,1.9245085000000017
100.0,16.27773803472519,14.182007789611816,17,0.2835862934589386,diabetes,10,29.820396984111397,34.79024506726349,,,0.27829369430835094,,48.06582161549772,3706.0480282017174,,0.2772814420051991,,0,,,0.2840137101986886,,47.91152576918012,3674.9941786614568,,0.2833372710687029,,0.33067646622657776,0.28362470865249634,coexplain_soft,ensemble_10,0,regression,1.9900743340000027
0.5,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.932394875
1.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.9951265830000011
2.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.926152708
5.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.8065494579999992
10.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.7481144579999999
20.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.7916956249999956
50.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.8005930830000025
100.0,50.0,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0,0.8851953744888306,same_arch_random,ensemble_10,0,regression,1.789390707999999
,40.728693306446075,36.069802433252335,49,0.4728412330150604,diabetes,10,840.3753120153451,2873.6335219895423,,,0.3298672094386593,,47.54800783650259,3436.710972811415,,0.32980501612107405,,0,,,0.00435611363791466,,59.33186014582602,5105.7590620576175,,0.00432298806724396,,0.9971736669540405,0.8786709904670715,djinn,ensemble_10,0,regression,2.385128833000003
0.5,52.004056334495544,51.76345509290695,49,0.9558204412460327,diabetes,10,2912.862908977142,3609.1975253897986,,,0.020808824352035904,,61.03701833660683,5250.097848105806,,-0.023824601635225262,,0,,,0.033300409271748044,,65.82476155141767,6002.66718344877,,-0.1705835806585183,,1.1166800260543823,1.163901925086975,path_expansion,ensemble_10,0,regression,1.8460222920000007
1.0,48.956370651721954,48.53042286634445,49,0.89582359790802,diabetes,10,2639.0844472293356,3285.8574761204486,,,0.06302023267989842,,59.590920094693644,5007.702078128087,,0.023445136913560094,,0,,,0.06770671032844344,,64.13008923477001,5698.981955213687,,-0.11136174959636702,,1.050958275794983,1.090239405632019,path_expansion,ensemble_10,0,regression,1.834910750000006
